Unnamed: 0,1_은평공영차고지,2_덕은교.은평차고지앞,3_수색교,4_수색역앞,5_디지털미디어시티역,6_북가좌동삼거리,7_DMC래미안e.편한세상요진아파트,8_모래내시장.가좌역,9_사천교,10_연희104고지앞.구성산회관,11_서대문우체국,12_연세대앞,13_세브란스병원앞,14_이대후문,15_영천시장,16_서대문역,17_경찰청.동북아역사재단,18_서울역버스환승센터,19_갈월동,20_숙대입구역,21_삼각지역,22_KT용산지사,23_신용산역,24_한강대교북단.LG유플러스,25_노들섬,26_상도터널노량진동,27_상도터널상도동,28_상도시장,29_상도동중앙하이츠빌.상도전통시장,30_숭실대입구역,31_봉현초등학교,32_성현동동아아파트,33_봉원중학교.행운동우성아파트,34_봉천사거리.위버폴리스,35_관악구청,36_관악경찰서.관악소방서,37_서울여상.서울문영여중고앞,38_서울대학교치과병원.동물병원,39_서울대학교,40_서울대학교치과병원.동물병원,41_서울여상.서울문영여중고앞,42_관악구청,43_봉천사거리.봉천중앙시장,44_봉원중학교.행운동우성아파트,45_관악푸르지오아파트,46_봉천고개.관악현대아파트,47_숭실대입구역,48_상도동중앙하이츠빌.상도전통시장,49_상도시장,50_상도터널상도동,51_상도터널노량진동,52_노들섬,53_한강대교북단.LG유플러스,54_신용산역,55_KT용산지사,56_삼각지역,57_숙대입구역,58_갈월동,59_경찰청.동북아역사재단,60_서대문.서울시교육청,61_독립문(가상),62_독립문공원.극동아파트,63_이대후문,64_세브란스병원앞,65_연세대앞,66_서대문우체국,67_연희104고지앞.구성산회관,68_사천교,69_모래내시장.가좌역,70_DMC래미안e.편한세상요진아파트,71_북가좌동삼거리,72_디지털미디어시티역,73_수색역앞,74_수색교,75_덕은교.은평차고지앞,76_은평공영차고지(가상)
2022-03-07 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 04:00:00,6,1,6,7,10,18,22,23,24,24,25,25,24,11,19,14,6,6,8,10,11,9,9,9,0,6,3,0,6,5,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 05:00:00,1,3,4,4,6,7,10,12,13,13,12,13,10,9,10,8,7,7,6,7,8,7,5,6,0,6,2,6,7,6,9,11,9,4,4,0,2,1,2,2,0,3,4,7,9,11,9,8,12,12,13,9,15,8,14,12,18,17,12,14,5,20,19,17,0,0,18,22,20,0,18,13,4,3,0,0
2022-03-07 06:00:00,4,3,7,0,0,0,0,0,0,0,0,0,0,0,12,11,9,5,4,3,3,0,2,1,0,3,1,2,5,4,3,8,7,4,2,1,0,0,2,1,1,3,5,8,12,15,13,20,17,21,24,15,16,15,14,15,16,14,8,8,6,13,8,7,10,11,10,9,3,3,8,6,3,0,1,0
2022-03-07 07:00:00,13,26,28,26,21,23,26,34,37,40,45,44,37,35,35,36,28,25,10,12,16,5,20,18,16,11,8,8,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,20,23,27,26,25,24,25,24,23,22,24,20,19,13,25,9,10,9,5,7,6,5,5,3,2,0,0,0,0
2022-03-07 08:00:00,8,15,22,31,34,33,34,43,50,50,53,58,56,62,57,42,32,25,26,25,30,28,36,28,21,27,23,25,30,41,39,38,34,23,22,20,15,8,3,3,3,11,14,24,30,32,29,41,43,48,47,46,38,33,31,27,27,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2022-03-07 09:00:00,0,0,0,0,0,0,0,0,0,0,0,23,21,21,28,25,22,12,9,8,20,18,18,16,12,15,14,10,14,13,14,12,14,13,10,9,8,7,4,3,2,9,11,18,20,29,26,32,35,36,35,34,33,28,22,23,28,33,23,24,22,31,20,16,12,12,4,3,3,2,1,2,1,0,0,0
